 time                    	t_db                     	RH                       	Rad                      	load                     	
  +6.3410000000000000E+03	  +1.9100000381469727E+01	  +8.7000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.3420000000000000E+03	  +1.8699998855590820E+01	  +8.9000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.3430000000000000E+03	  +1.8581251144409180E+01	  +9.0000000000000000E+01	  +1.0799998474121094E+02	  +0.0000000000000000E+00	
  +6.3440000000000000E+03	  +1.9563392639160156E+01	  +8.9000000000000000E+01	  +6.2639990234375000E+02	  +1.9038384915684269E+03	
  +6.3450000000000000E+03	  +2.0497856140136719E+01	  +8.7000000000000000E+01	  +9.1079986572265625E+02	  +6.8872211810150711E+03	
  +6.3460000000000000E+03	  +2.1343076705932617E+01	  +8.4500000000000000E+01	  +1.3787998046875000E+03	  +9.3015796365625938E+03	
  +6.3470000000000000E+03	  +2.2376922607421875E+01	  +8.1000000000000000E+01	  +2.0483996582031250E+03	  +1.1669937334193410E+04	
  +6.3480000000000000E+03	  +2.2909999847412109E+01	  +7.9000000000000000E+01	  +8.4239984130859375E+02	  +9.5314679416491817E+03	
  +6.3490000000000000E+03	  +2.2977500915527344E+01	  +7.8500000000000000E+01	  +1.5839997558593750E+03	  +1.1006905793456126E+04	
  +6.3500000000000000E+03	  +2.3100000381469727E+01	  +7.8000000000000000E+01	  +1.0079998779296875E+03	  +1.0149726679416728E+04	
  +6.3510000000000000E+03	  +2.3100000381469727E+01	  +7.8500000000000000E+01	  +1.2383999023437500E+03	  +1.1120817412619463E+04	
